,values
irrigation_energy_0.50.5pressure ,1.0
irrigation_energy_0.51191658391261170.4413549597263599,1.0
irrigation_energy_0.53271028037383170.4672897196261682,48.0
irrigation_energy_0.53309608540925270.45338078291814950.0135231316725978,7.0
irrigation_energy_0.61538461538461540.3846153846153846,9.0
irrigation_energy_0.6363636363636364,3.0
irrigation_energy_0.70175438596491220.2982456140350877,2.0
irrigation_energy_0.7334437086092714,8.0
irrigation_energy_0.75,8.0
irrigation_energy_0.75851615886553970.2414838411344602,5.0
irrigation_energy_0.77673984119570290.3316207379729098,4.0
irrigation_energy_0.7970521541950113,5.0
irrigation_energy_0.81919431279620850.14691943127962080.0308056872037914,3.0
irrigation_energy_0.8823529411764706,19.0
irrigation_energy_0.9137931034482760.0862068965517241,1.0
irrigation_energy_0.9244142101284958,2.0
irrigation_energy_0.996238834038552,3.0
irrigation_energy_0.9971910112359552,13.0
irrigation_energy_0.99757113115891740.9975711311589174,10.0
irrigation_energy_0.9999999999999998,4.0
irrigation_energy_1.0000000000000002,7.0
irrigation_energy_1.00000000000000021.0000000000000002,8.0
irrigation_energy_1.1818181818181821.181818181818182,8.0
irrigation_energy_1.2,5.0
irrigation_energy_13.86822529224229781.08395324123273,12.0
irrigation_energy_203.18809776833157,3.0
irrigation_energy_210.5263157894736710.526315789473683pressure ,2.0
irrigation_energy_426.1698337292161,1.0
irrigation_energy_diesel ,15.0
irrigation_energy_electricity ,25.0
irrigation_energy_electricity pressure ,4.0
irrigation_energy_pressure ,14.0
irrigation_energy_pressure solar ,2.0
irrigation_energy_solar ,1.0
irrigation_type_,9.0
irrigation_type_0.1250.875,9.0
irrigation_type_0.26271186440677960.7372881355932203,2.0
irrigation_type_0.80810561866748540.1918943813325145,2.0
irrigation_type_0.85840707964601760.1415929203539823,1.0
irrigation_type_0.9655172413793104,2.0
irrigation_type_1.0000000000000002,6.0
irrigation_type_1.2,2.0
irrigation_type_1.24176294394522910.1326486949080017,15.0
irrigation_type_dripper ,23.0
irrigation_type_dripper 0.1368970013037809,18.0
irrigation_type_non_irrigated ,17.0
irrigation_type_overhead_sprinkler ,14.0
irrigation_type_undervine_sprinkler ,6.0
water_type_,11.0
water_type_0.00763269140441520.7463380108031940.0119422263973696,3.0
water_type_0.1333333333333333,1.0
water_type_0.2608695652173913,7.0
water_type_0.2989690721649484,1.0
water_type_0.3333333333333333,2.0
water_type_0.37142857142857141.0389610389610389,14.0
water_type_0.375,1.0
water_type_0.45454545454545450.7272727272727273,5.0
water_type_0.4810344827586207,6.0
water_type_0.4897959183673469,1.0
water_type_0.5,1.0
water_type_0.50.2,15.0
water_type_0.50.8571428571428571,2.0
water_type_0.55228276877761420.1840942562592047,1.0
water_type_0.578512396694215,1.0
water_type_0.625,5.0
water_type_0.63176788124156550.2833198380566802,12.0
water_type_0.65843621399176951.728395061728395,2.0
water_type_0.6648936170212766,3.0
water_type_0.7050528789659225,1.0
water_type_0.73614145426459230.02127330905881050.50217367317665240.0058589870903674,21.0
water_type_0.85227272727272730.1420454545454545,10.0
water_type_0.87719298245614040.0994152046783625,20.0
water_type_0.9066901408450704,1.0
water_type_0.92307692307692320.1923076923076923,7.0
water_type_0.95,5.0
water_type_0.9523809523809524,4.0
water_type_0.95389507154213040.3179650238473768,3.0
water_type_1.037037037037037,4.0
water_type_1.0714285714285714,1.0
water_type_1.0754716981132075,7.0
water_type_1.1444943820224718,7.0
water_type_1.162790697674419,12.0
water_type_1.206896551724138,5.0
water_type_1.2307692307692308,2.0
water_type_1.2367491166077738,19.0
water_type_1.2375,14.0
water_type_1.25,8.0
water_type_1.2727272727272727,1.0
water_type_1.3029315960912051,4.0
water_type_1.3084112149532712,8.0
water_type_1.3333333333333333,1.0
water_type_1.3952738184546136,11.0
water_type_1.44444444444444440.1111111111111111,9.0
water_type_1.4653465346534650.07709787372179840.17464697289401071.6231131309852296,5.0
water_type_1.4705882352941175,1.0
water_type_1.477832512315271,2.0
water_type_1.5117157974300832,2.0
water_type_1.5151515151515151,5.0
water_type_1.5364583333333337,1.0
water_type_1.5495327102803738,11.0
water_type_1.6244131455399060.4741784037558685,3.0
water_type_1.6304347826086958,4.0
water_type_1.6607142857142858,6.0
water_type_1.6756756756756757,1.0
water_type_1.7391304347826086,11.0
water_type_1.7777777777777777,6.0
water_type_1.8229166666666667,5.0
water_type_1.829268292682927,4.0
water_type_10.066535458066154,2.0
water_type_11.038461538461538,1.0
water_type_13.422818791946307,6.0
water_type_1470.3261450721798,4.0
water_type_2.01.25,7.0
water_type_2.04761904761904740.8809523809523809,12.0
water_type_2.06043956043956,22.0
water_type_2.1156769596199525,1.0
water_type_2.1359223300970878,1.0
water_type_2.148378728923476,1.0
water_type_2.159827213822894,1.0
water_type_2.1792035398230090.0055309734513274,3.0
water_type_2.328767123287671,5.0
water_type_2.5,1.0
water_type_2.75806451612903250.032258064516129,2.0
water_type_2.794117647058824,1.0
water_type_2.9065200314218385,1.0
water_type_3.1948120698782425,1.0
water_type_3.340869565217392,1.0
water_type_3.475409836065574,5.0
water_type_4.1551246537396125,9.0
water_type_4.7,6.0
water_type_4.92432735426009,3.0
water_type_5.055737704918033,1.0
water_type_5.181818181818182,1.0
water_type_5.4,16.0
water_type_5.832012678288431,5.0
water_type_5.931818181818182,6.0
water_type_5.966095890410959,1.0
water_type_6.0,2.0
water_type_6.226415094339623,9.0
water_type_6.25,10.0
water_type_6.2949640287769775,6.0
water_type_6.363636363636363,16.0
water_type_6.365805168986084,16.0
water_type_6.764,1.0
water_type_6.871345029239766,1.0
water_type_7.0,4.0
water_type_7.037037037037037,3.0
water_type_7.186870229007632,12.0
water_type_7.303370786516854,1.0
water_type_7.358490566037736,9.0
water_type_7.499999999999999,8.0
water_type_7.5,1.0
water_type_7.529090909090908,6.0
water_type_7.625000000000001,4.0
water_type_7.773851590106007,18.0
water_type_7.783265042053052,14.0
water_type_8.035714285714286,6.0
water_type_8.36467517401392,3.0
water_type_8.377571976595497,25.0
water_type_8.571428571428571,3.0
water_type_8.666666666666666,1.0
water_type_8.821917808219180.0002958904109589,1.0
water_type_8.853711790393014,3.0
water_type_groundwater ,4.0
water_type_other_water ,3.0
water_type_recycled_water_from_other_source ,2.0
water_type_recycled_water_from_other_source 0.25,8.0
